                                     oof_accuracy                                                         test_accuracy                                                        
                                             mean t_int_l t_int_h    std                           values          mean t_int_l t_int_h    std                           values
name                                                                                                                                                                           
lgb_baseline                               0.5036  0.5010  0.5062 0.0021  [0.501 0.502 0.504 0.504 0.506]        0.5006  0.4984  0.5028 0.0018  [0.498 0.500 0.501 0.502 0.502]
scores: cpc_finetuning_scores_12000        0.5234  0.5215  0.5252 0.0015  [0.522 0.522 0.523 0.524 0.525]        0.5115  0.5096  0.5134 0.0015  [0.509 0.511 0.512 0.512 0.513]
scores: mles_finetuning_scores_12000       0.5266  0.5236  0.5295 0.0024  [0.524 0.525 0.525 0.528 0.530]        0.5089  0.5033  0.5146 0.0046  [0.505 0.507 0.508 0.508 0.517]
scores: target_scores_12000                0.5143  0.5113  0.5174 0.0025  [0.511 0.513 0.515 0.515 0.518]        0.5038  0.5015  0.5060 0.0018  [0.501 0.503 0.504 0.504 0.506]
