                                             oof_accuracy                                                         test_accuracy                                                        
                                                     mean t_int_l t_int_h    std                           values          mean t_int_l t_int_h    std                           values
name                                                                                                                                                                                   
lgb_embeds: emb__hidden_size__hs_0064.pickle       0.5214  0.5196  0.5232 0.0015  [0.519 0.521 0.522 0.522 0.523]        0.5200  0.5187  0.5213 0.0011  [0.519 0.519 0.520 0.520 0.522]
lgb_embeds: emb__hidden_size__hs_0160.pickle       0.5325  0.5299  0.5351 0.0021  [0.529 0.532 0.533 0.534 0.534]        0.5313  0.5296  0.5331 0.0014  [0.530 0.530 0.531 0.532 0.533]
lgb_embeds: emb__hidden_size__hs_0480.pickle       0.5397  0.5380  0.5414 0.0014  [0.538 0.539 0.540 0.540 0.542]        0.5384  0.5372  0.5396 0.0010  [0.537 0.538 0.538 0.539 0.540]
lgb_embeds: emb__hidden_size__hs_0800.pickle       0.5420  0.5396  0.5445 0.0020  [0.540 0.540 0.543 0.544 0.544]        0.5403  0.5394  0.5411 0.0007  [0.539 0.540 0.541 0.541 0.541]
lgb_embeds: emb__hidden_size__hs_1600.pickle       0.5417  0.5389  0.5445 0.0023  [0.539 0.539 0.543 0.543 0.544]        0.5396  0.5381  0.5411 0.0012  [0.538 0.539 0.539 0.541 0.541]
