                                              oof_accuracy                                                         test_accuracy                                                        
                                                      mean t_int_l t_int_h    std                           values          mean t_int_l t_int_h    std                           values
name                                                                                                                                                                                    
lgb_embeds: emb__loss_binomialdeviance.pickle       0.5347  0.5335  0.5359 0.0010  [0.533 0.534 0.535 0.535 0.536]        0.5321  0.5300  0.5341 0.0017  [0.531 0.531 0.531 0.533 0.534]
lgb_embeds: emb__loss_histogramloss.pickle          0.5335  0.5318  0.5352 0.0014  [0.531 0.533 0.534 0.534 0.535]        0.5324  0.5311  0.5337 0.0010  [0.531 0.532 0.532 0.533 0.534]
lgb_embeds: emb__loss_margin.pickle                 0.5413  0.5402  0.5425 0.0009  [0.540 0.540 0.541 0.542 0.543]        0.5408  0.5402  0.5415 0.0005  [0.540 0.540 0.541 0.541 0.542]
lgb_embeds: emb__loss_triplet.pickle                0.5406  0.5394  0.5418 0.0010  [0.539 0.540 0.541 0.541 0.542]        0.5375  0.5362  0.5388 0.0010  [0.536 0.537 0.537 0.537 0.539]
lgb_embeds: mles_embeddings.pickle                  0.5366  0.5355  0.5377 0.0009  [0.535 0.536 0.537 0.537 0.538]        0.5363  0.5349  0.5377 0.0011  [0.535 0.535 0.537 0.537 0.537]
