                                  oof_accuracy                                                         test_accuracy                                                        
                                          mean t_int_l t_int_h    std                           values          mean t_int_l t_int_h    std                           values
name                                                                                                                                                                        
lgb_embeds: nsp_embeddings.pickle       0.4271  0.4254  0.4287 0.0013  [0.425 0.426 0.427 0.428 0.429]        0.4268  0.4254  0.4282 0.0011  [0.426 0.426 0.427 0.428 0.428]
lgb_embeds: rtd_embeddings.pickle       0.5198  0.5159  0.5237 0.0032  [0.515 0.519 0.519 0.522 0.523]        0.5195  0.5176  0.5213 0.0015  [0.517 0.519 0.520 0.520 0.521]
lgb_embeds: sop_embeddings.pickle       0.4304  0.4280  0.4329 0.0020  [0.428 0.429 0.431 0.431 0.433]        0.4305  0.4292  0.4318 0.0011  [0.429 0.430 0.430 0.431 0.432]
scores: rtd_finetuning_scores           0.5573  0.5529  0.5617 0.0036  [0.555 0.555 0.556 0.558 0.563]        0.5412  0.5396  0.5428 0.0013  [0.539 0.541 0.541 0.542 0.542]
