                                   oof_accuracy                                                         test_accuracy                                                        
                                           mean t_int_l t_int_h    std                           values          mean t_int_l t_int_h    std                           values
name                                                                                                                                                                         
lgb_baseline                             0.5158  0.5026  0.5291 0.0107  [0.503 0.506 0.523 0.523 0.525]        0.5093  0.4940  0.5245 0.0123  [0.494 0.502 0.511 0.512 0.527]
scores: cpc_finetuning_scores_496        0.5742  0.5610  0.5874 0.0106  [0.560 0.569 0.573 0.583 0.587]        0.5694  0.5549  0.5839 0.0117  [0.551 0.567 0.572 0.576 0.581]
scores: mles_finetuning_scores_496       0.5659  0.5564  0.5755 0.0077  [0.558 0.562 0.564 0.570 0.577]        0.5573  0.5523  0.5623 0.0040  [0.554 0.555 0.556 0.559 0.564]
scores: target_scores_496                0.5601  0.5298  0.5903 0.0244  [0.521 0.552 0.575 0.575 0.578]        0.5553  0.5271  0.5834 0.0227  [0.515 0.562 0.562 0.567 0.570]
