                                       oof_rocauc_score                                                         test_rocauc_score                                                        
                                                   mean t_int_l t_int_h    std                           values              mean t_int_l t_int_h    std                           values
name                                                                                                                                                                                     
lgb_embeds: emb__encoder_lstm.pickle             0.8605  0.8489  0.8721 0.0093  [0.848 0.856 0.860 0.869 0.870]            0.8683  0.8658  0.8709 0.0020  [0.866 0.867 0.869 0.869 0.871]
lgb_embeds: emb__encoder_transf.pickle           0.8566  0.8451  0.8681 0.0093  [0.844 0.850 0.859 0.862 0.868]            0.8671  0.8638  0.8703 0.0026  [0.863 0.866 0.867 0.869 0.870]
lgb_embeds: mles_embeddings.pickle               0.8746  0.8663  0.8829 0.0067  [0.866 0.869 0.876 0.880 0.882]            0.8802  0.8767  0.8838 0.0029  [0.877 0.878 0.881 0.883 0.883]
