                                                           oof_rocauc_score                                                         test_rocauc_score                                                        
                                                                       mean t_int_l t_int_h    std                           values              mean t_int_l t_int_h    std                           values
name                                                                                                                                                                                                         
lgb_embeds: emb__hidden_size_bs_0128_hs_0032.pickle                  0.8270  0.8189  0.8351 0.0065  [0.817 0.825 0.827 0.832 0.834]            0.8331  0.8305  0.8357 0.0021  [0.830 0.832 0.833 0.834 0.836]
lgb_embeds: emb__hidden_size_bs_0128_hs_0064.pickle                  0.8520  0.8451  0.8589 0.0056  [0.847 0.847 0.851 0.854 0.860]            0.8522  0.8478  0.8567 0.0036  [0.846 0.852 0.853 0.855 0.855]
lgb_embeds: emb__hidden_size_bs_0128_hs_0128.pickle                  0.8598  0.8508  0.8687 0.0072  [0.851 0.853 0.864 0.865 0.866]            0.8647  0.8640  0.8654 0.0006  [0.864 0.864 0.865 0.865 0.865]
lgb_embeds: emb__hidden_size_bs_0128_hs_0256.pickle                  0.8654  0.8527  0.8780 0.0102  [0.854 0.857 0.866 0.873 0.878]            0.8773  0.8721  0.8824 0.0042  [0.872 0.875 0.877 0.881 0.882]
lgb_embeds: emb__hidden_size_bs_0128_hs_0512.pickle                  0.8736  0.8627  0.8846 0.0088  [0.863 0.867 0.874 0.882 0.882]            0.8790  0.8746  0.8834 0.0036  [0.876 0.877 0.877 0.881 0.884]
lgb_embeds: emb__hidden_size_bs_0128_hs_1024.pickle                  0.8764  0.8689  0.8839 0.0060  [0.869 0.872 0.877 0.881 0.884]            0.8903  0.8868  0.8937 0.0028  [0.887 0.888 0.891 0.892 0.893]
lgb_embeds: emb__hidden_size_bs_0128_hs_2048.pickle                  0.8652  0.8541  0.8763 0.0089  [0.851 0.862 0.870 0.871 0.872]            0.8775  0.8747  0.8804 0.0023  [0.875 0.876 0.878 0.878 0.881]
lgb_embeds: emb__hidden_size_bs_0128_hs_3072.pickle                  0.8679  0.8595  0.8763 0.0068  [0.860 0.863 0.867 0.873 0.876]            0.8792  0.8761  0.8823 0.0025  [0.876 0.879 0.879 0.879 0.883]
