                                                   oof_rocauc_score                                                         test_rocauc_score                                                        
                                                               mean t_int_l t_int_h    std                           values              mean t_int_l t_int_h    std                           values
name                                                                                                                                                                                                 
lgb_embeds: emb__cosine_annealing.pickle                     0.8750  0.8616  0.8883 0.0107  [0.862 0.868 0.873 0.882 0.889]            0.8845  0.8805  0.8885 0.0032  [0.881 0.883 0.884 0.885 0.890]
lgb_embeds: emb__reduce_on_plateau.pickle                    0.8721  0.8648  0.8795 0.0059  [0.864 0.870 0.871 0.878 0.878]            0.8804  0.8766  0.8842 0.0031  [0.878 0.878 0.880 0.881 0.886]
lgb_embeds: emb__reduce_on_plateau_x2epochs.pickle           0.8763  0.8669  0.8857 0.0075  [0.866 0.874 0.874 0.883 0.885]            0.8866  0.8824  0.8907 0.0034  [0.883 0.884 0.886 0.889 0.891]
lgb_embeds: mles_embeddings.pickle                           0.8764  0.8689  0.8839 0.0060  [0.869 0.872 0.877 0.881 0.884]            0.8903  0.8868  0.8937 0.0028  [0.887 0.888 0.891 0.892 0.893]
