                                   oof_rocauc_score                                                         test_rocauc_score                                                        
                                               mean t_int_l t_int_h    std                           values              mean t_int_l t_int_h    std                           values
name                                                                                                                                                                                 
lgb_baseline                                 0.8254  0.8132  0.8377 0.0099  [0.817 0.822 0.823 0.823 0.842]            0.8317  0.8259  0.8374 0.0047  [0.827 0.829 0.831 0.833 0.839]
lgb_embeds: cpc_embeddings.pickle            0.8256  0.8107  0.8405 0.0120  [0.816 0.817 0.823 0.826 0.846]            0.8264  0.8194  0.8333 0.0056  [0.819 0.823 0.827 0.829 0.834]
lgb_embeds: mles_embeddings.pickle           0.8499  0.8398  0.8600 0.0082  [0.842 0.846 0.848 0.849 0.864]            0.8481  0.8428  0.8534 0.0043  [0.843 0.844 0.850 0.851 0.852]
scores: cpc_finetuning_scores_0756           0.8234  0.8163  0.8306 0.0058  [0.818 0.821 0.822 0.824 0.833]            0.8269  0.8172  0.8366 0.0078  [0.819 0.823 0.823 0.831 0.838]
scores: finetuning_scores_0756               0.8326  0.8248  0.8404 0.0062  [0.825 0.828 0.834 0.835 0.841]            0.8454  0.8345  0.8562 0.0088  [0.837 0.838 0.845 0.848 0.859]
scores: target_scores_0756                   0.7627  0.7441  0.7813 0.0150  [0.748 0.751 0.758 0.772 0.784]            0.7727  0.7470  0.7984 0.0207  [0.748 0.758 0.773 0.784 0.801]
